"","id","freq","text"
"1","218403920001769473",209,"If we want to get rid of Obamacare, were going to have to replace @BarackObama http://t.co/PKKYZNwk #FullRepeal"
"2","218350925503410176",199,"RT @RubinReport: Only in America would so many overweight, diabetic people with heart disease be upset that they're gonna have healthcar ..."
"3","265981723949543424",194,"RT @Annaluvsproduce: For those saying ""if Obama wins I'm going to Australia"" our PM is a single atheist woman &amp; we have universal he ..."
"4","218374385852096513",172,"RT if you stand for #FullRepeal of Obamacare."
"5","218403429691817984",172,"Thank you, SCOTUS. This Obamacare ruling fires up the troops as Americas eyes are opened! Thank God.

This... http://t.co/YuCO754o"
"6","183283885021470720",170,"#ILikeObamacare because I want the government that picks winners &amp; losers like #Solyndra to pick my health care. #HandsOff"
"7","218362435814440961",167,"Boehner: ""This is a dark day for America. If we are forced to have healthcare, it's only a matter of time before we have education."""
"8","218348142234570754",154,"Victory for the American people! Millions of American families and children will have certainty of health care benefits + affordable care."
"9","262549056130252800",153,"RT @DennisMillerFU: OK people, here's the list of the criminals who voted for ObamaCare - send it to everyone you know. http://t.co/r7ggvYI0"
"10","219933221197066242",151,".@BarackObama's healthcare promises have fallen short. RT and share this infographic if you agree http://t.co/a4lCksvR"
